docket_no,sex,race
MC-51-CR-0010986-2020,Female,Black
MC-51-CR-0017847-2020,Male,White
MC-51-CR-0002064-2020,Male,White
MC-51-CR-0015800-2020,Male,Asian/Pacific Islander
MC-51-CR-0010630-2020,Male,White
MC-51-CR-0015490-2020,Male,White
MC-51-CR-0000305-2020,Male,White
MC-51-CR-0017907-2020,Female,Black
MC-51-CR-0012737-2020,Male,Black
MC-51-CR-0017597-2020,Male,Black
MC-51-CR-0010456-2020,Female,White
MC-51-CR-0002202-2020,Female,White
MC-51-CR-0022252-2020,Male,Black
MC-51-CR-0008015-2020,Female,Black
MC-51-CR-0018520-2020,Male,White
MC-51-CR-0020133-2020,Female,White
MC-51-CR-0016539-2020,Male,Black
MC-51-CR-0020355-2020,Male,Black
MC-51-CR-0018746-2020,Male,Black
MC-51-CR-0011868-2020,Male,White
MC-51-CR-0013799-2020,Male,White
MC-51-CR-0022034-2020,Male,Black
MC-51-CR-0014658-2020,Female,White
MC-51-CR-0008273-2020,Male,Black
MC-51-CR-0012736-2020,Male,Black
MC-51-CR-0017906-2020,Female,Black
MC-51-CR-0002203-2020,Female,Black
MC-51-CR-0017596-2020,Male,White
MC-51-CR-0010457-2020,Male,Black
MC-51-CR-0010631-2020,Male,Black
MC-51-CR-0002065-2020,Male,Black
MC-51-CR-0015801-2020,Female,Black
MC-51-CR-0000304-2020,Male,Black
MC-51-CR-0012550-2020,Male,White
MC-51-CR-0015491-2020,Female,Black
MC-51-CR-0018747-2020,Male,White
MC-51-CR-0016538-2020,Male,White
MC-51-CR-0020354-2020,Male,Black
MC-51-CR-0022035-2020,Male,Black
MC-51-CR-0013798-2020,Male,White
MC-51-CR-0014659-2020,Male,White
MC-51-CR-0008272-2020,Male,Black
MC-51-CR-0011869-2020,Female,Black
MC-51-CR-0022253-2020,Male,Black
MC-51-CR-0008014-2020,Male,White
MC-51-CR-0020132-2020,Female,White
MC-51-CR-0018521-2020,Male,White
MC-51-CR-0009613-2020,Male,Black
MC-51-CR-0015238-2020,Female,White
MC-51-CR-0021735-2020,Female,White
MC-51-CR-0010098-2020,Male,White
MC-51-CR-0017159-2020,Male,Black
MC-51-CR-0019326-2020,Male,White
MC-51-CR-0019140-2020,Female,Black
MC-51-CR-0021553-2020,Male,White
MC-51-CR-0009475-2020,Male,Black
MC-51-CR-0006852-2020,Male,Black
MC-51-CR-0011036-2020,Male,Black
MC-51-CR-0018388-2020,Male,Black
MC-51-CR-0003662-2020,Male,Black
MC-51-CR-0001503-2020,Male,Black
MC-51-CR-0014296-2020,Male,Black
MC-51-CR-0013357-2020,Male,White
MC-51-CR-0004955-2020,Female,White
MC-51-CR-0013131-2020,Female,Black
MC-51-CR-0001765-2020,Male,Black
MC-51-CR-0003404-2020,Male,White
MC-51-CR-0011250-2020,Male,Black
MC-51-CR-0016391-2020,Male,Black
MC-51-CR-0021552-2020,Male,White
MC-51-CR-0019141-2020,Male,Black
MC-51-CR-0009474-2020,Male,Black
MC-51-CR-0009612-2020,Male,Black
MC-51-CR-0015239-2020,Male,White
MC-51-CR-0010099-2020,Male,White
MC-51-CR-0021734-2020,Male,White
MC-51-CR-0017158-2020,Male,Black
MC-51-CR-0001764-2020,Male,Black
MC-51-CR-0004954-2020,Male,White
MC-51-CR-0013130-2020,Male,White
MC-51-CR-0011251-2020,Male,Black
MC-51-CR-0016390-2020,Male,White
MC-51-CR-0018389-2020,Male,Black
MC-51-CR-0006853-2020,Male,White
MC-51-CR-0011037-2020,Male,Black
MC-51-CR-0014297-2020,Male,Black
MC-51-CR-0013356-2020,Male,White
MC-51-CR-0001502-2020,Male,Black
MC-51-CR-0019414-2020,Male,Black
MC-51-CR-0021007-2020,Male,Black
MC-51-CR-0019884-2020,Male,Black
MC-51-CR-0009121-2020,Male,Black
MC-51-CR-0007138-2020,Male,Black
MC-51-CR-0009347-2020,Male,Black
MC-51-CR-0021261-2020,Male,White
MC-51-CR-0002398-2020,Male,Black
MC-51-CR-0019672-2020,Male,Black
MC-51-CR-0013465-2020,Female,Black
MC-51-CR-0014934-2020,Female,White
MC-51-CR-0003150-2020,Male,White
MC-51-CR-0011704-2020,Female,Black
MC-51-CR-0011562-2020,Male,Black
MC-51-CR-0003336-2020,Male,Black
MC-51-CR-0006196-2020,Male,Black
MC-51-CR-0016833-2020,Male,Black
MC-51-CR-0001057-2020,Male,Black
MC-51-CR-0013603-2020,Male,Black
MC-51-CR-0009346-2020,Male,Black
MC-51-CR-0007139-2020,Male,Black
MC-51-CR-0002399-2020,Male,Black
MC-51-CR-0019673-2020,Male,Black
MC-51-CR-0021260-2020,Male,White
MC-51-CR-0021006-2020,Male,White
MC-51-CR-0019415-2020,Male,Black
MC-51-CR-0019885-2020,Female,Black
MC-51-CR-0009120-2020,Male,Black
MC-51-CR-0003337-2020,Male,Black
MC-51-CR-0011563-2020,Male,Black
MC-51-CR-0013602-2020,Male,Black
MC-51-CR-0006197-2020,Male,White
MC-51-CR-0016832-2020,Male,Black
MC-51-CR-0001056-2020,Male,Black
MC-51-CR-0001230-2020,Female,White
MC-51-CR-0013464-2020,Male,Black
MC-51-CR-0011705-2020,Male,Black
MC-51-CR-0014935-2020,Male,Black
MC-51-CR-0003151-2020,Male,White
MC-51-CR-0004090-2020,Male,Black
MC-51-CR-0000437-2020,Female,White
MC-51-CR-0009789-2020,Male,White
MC-51-CR-0012263-2020,Male,White
MC-51-CR-0010102-2020,Female,White
MC-51-CR-0007966-2020,Female,Black
MC-51-CR-0005697-2020,Male,Black
MC-51-CR-0002756-2020,Male,Black
MC-51-CR-0002530-2020,Male,Black
MC-51-CR-0010364-2020,Male,White
MC-51-CR-0012005-2020,Male,White
MC-51-CR-0005861-2020,Male,White
MC-51-CR-0000651-2020,Male,Black
MC-51-CR-0021859-2020,Male,Black
MC-51-CR-0007790-2020,Male,Black
MC-51-CR-0020601-2020,Male,White
MC-51-CR-0001809-2020,Male,White
MC-51-CR-0004639-2020,Male,Black
MC-51-CR-0018212-2020,Male,Black
MC-51-CR-0001499-2020,Male,Black
MC-51-CR-0006558-2020,Male,Black
MC-51-CR-0008727-2020,Male,Black
MC-51-CR-0022560-2020,Male,Black
MC-51-CR-0008541-2020,Female,Black
MC-51-CR-0022706-2020,Male,Black
MC-51-CR-0018074-2020,Male,White
