,zipcode,households,families,married_families,nonfamily_households,households_less_than_$10000,"households_$10,000_to_$14,999","households_$15,000_to_$24,999","households_$25,000_to_$34,999","households_$35,000_to_$44,999","households_$45,000_to_$74,999","households_$75,000_to_$99,999","households_$100,000_to_$149,999","households_$150,000_to_$199,999","households_$200,000_or_more",households_median_income,households_mean_income,families_less_than_$10000,"families_$10,000_to_$14,999","families_$15,000_to_$24,999","families_$25,000_to_$34,999","families_$35,000_to_$44,999","families_$45,000_to_$74,999","families_$75,000_to_$99,999","families_$100,000_to_$149,999","families_$150,000_to_$199,999","families_$200,000_or_more",families_median_income,families_mean_income,married_families_less_than_$10000,"married_families_$10,000_to_$14,999","married_families_$15,000_to_$24,999","married_families_$25,000_to_$34,999","married_families_$35,000_to_$44,999","married_families_$45,000_to_$74,999","married_families_$75,000_to_$99,999","married_families_$100,000_to_$149,999","married_families_$150,000_to_$199,999","married_families_$200,000_or_more",married_families_median_income,married_families_mean_income,nonfamily_households_less_than_$10000,"nonfamily_households_$10,000_to_$14,999","nonfamily_households_$15,000_to_$24,999","nonfamily_households_$25,000_to_$34,999","nonfamily_households_$35,000_to_$44,999","nonfamily_households_$45,000_to_$74,999","nonfamily_households_$75,000_to_$99,999","nonfamily_households_$100,000_to_$149,999","nonfamily_households_$150,000_to_$199,999","nonfamily_households_$200,000_or_more",nonfamily_households_median_income,nonfamily_households_mean_income
36,19143,25508,12459,4268,13049,14.8,10.5,14.0,12.6,14.5,15.3,8.2,5.6,2.8,1.8,33351,48615,9.3,8.2,13.1,12.6,14.0,16.5,11.7,7.7,4.3,2.5,41636,59220,2.7,4.5,8.5,5.2,11.5,17.1,17.9,15.8,10.4,6.5,75455,N,20.9,13.0,15.2,13.2,14.5,14.0,4.0,3.4,1.0,0.9,25467,36809
37,19144,17544,7871,3497,9673,18.9,8.4,13.0,10.7,13.7,13.9,7.9,9.0,2.6,1.9,33786,49886,10.7,4.7,11.1,11.2,13.3,18.9,10.9,12.0,4.5,2.8,49255,64441,5.3,1.5,7.7,6.7,12.2,16.8,17.7,18.4,8.0,5.7,74665,N,26.3,10.7,14.8,10.4,13.9,10.5,5.8,5.8,0.7,1.0,23225,36514
38,19145,18329,10467,5944,7862,11.6,5.8,15.1,8.5,13.8,16.6,10.8,11.1,3.6,3.0,42009,63142,9.0,3.5,10.6,7.8,17.0,16.5,11.6,14.7,5.2,4.1,52377,73385,4.3,1.5,4.8,6.6,15.8,18.5,13.2,20.6,7.9,6.8,73109,N,15.9,9.3,20.8,9.5,10.9,16.2,8.8,6.2,1.2,1.3,29117,47741
39,19146,16967,7349,4211,9618,10.1,5.7,9.6,6.4,9.5,14.1,9.6,15.2,8.1,11.6,63524,97697,4.4,2.9,9.3,6.4,10.9,11.3,10.1,16.9,10.3,17.5,85906,121920,0.2,0.5,5.0,3.6,5.3,7.7,11.8,23.1,16.0,26.8,135091,N,14.5,7.7,10.2,7.0,8.7,16.1,9.6,13.6,5.6,6.9,51886,76341
40,19147,17079,7776,5965,9303,4.0,4.6,7.2,7.3,10.5,15.1,12.7,13.9,10.0,14.8,77695,111468,3.2,2.3,6.8,5.9,9.5,11.4,10.6,14.8,12.6,23.0,101415,138960,1.7,1.8,3.7,4.4,6.5,9.9,11.5,16.6,15.5,28.5,133923,N,4.9,6.5,7.5,8.6,11.6,18.7,13.6,13.2,7.5,7.9,64906,87338
41,19148,19610,11127,6676,8483,9.2,5.0,11.1,10.7,11.8,20.3,11.5,12.5,4.7,3.3,52584,67585,7.6,3.7,10.0,10.4,11.9,18.7,12.7,15.6,5.2,4.2,57575,74256,3.6,3.7,7.1,8.1,9.9,19.0,13.2,22.3,7.7,5.3,72740,N,12.9,6.9,14.3,11.2,11.2,20.8,9.6,7.8,3.3,2.0,41134,55664
42,19149,18950,13476,7306,5474,6.7,4.5,15.2,12.3,16.8,20.0,11.1,9.3,2.4,1.8,45126,56674,5.2,3.9,13.3,12.5,18.3,21.1,10.5,10.9,2.3,2.0,47180,58732,2.0,2.6,10.2,12.7,14.4,24.0,11.7,15.8,3.6,2.9,56384,N,13.3,7.7,20.0,13.1,14.0,14.9,10.5,5.1,0.6,0.8,31157,44407
43,19150,9551,5136,2216,4415,8.5,4.1,14.2,11.1,15.4,18.8,14.4,9.8,2.5,1.1,46150,57626,6.3,3.2,7.6,10.7,13.2,20.3,18.0,14.3,4.4,1.9,61868,70363,5.8,1.2,6.6,5.2,10.1,20.3,20.1,19.9,6.5,4.3,76023,N,11.1,5.8,21.9,11.6,18.5,19.1,7.7,4.1,0.0,0.2,34624,41205
44,19151,11899,7264,3366,4635,9.7,3.7,12.4,13.3,12.8,18.0,9.5,13.8,4.2,2.4,48369,63244,5.7,4.0,9.3,14.1,10.2,19.1,10.7,16.2,6.8,3.9,54481,73945,3.0,4.9,3.9,4.9,8.9,17.3,12.1,27.5,11.3,6.3,89879,N,17.6,4.4,18.0,14.0,15.7,18.2,6.3,5.6,0.2,0.2,32355,41618
45,19152,13142,8377,6191,4765,8.9,3.9,10.2,12.0,13.2,20.3,9.8,15.1,4.6,1.9,52696,64566,3.6,2.4,7.5,9.5,13.0,23.1,12.8,19.3,7.1,1.6,63934,75594,3.6,1.4,7.6,9.1,8.6,22.1,13.1,23.3,9.2,1.9,72049,N,18.6,7.0,14.6,17.9,14.3,15.1,3.2,6.5,0.2,2.6,29811,43138
46,19153,5437,2858,1402,2579,10.0,6.7,12.9,11.2,13.0,18.9,11.9,11.4,3.2,0.8,42418,56532,7.6,6.4,11.1,7.2,15.4,17.6,14.2,14.6,4.3,1.6,52961,65132,3.8,0.5,3.7,9.0,7.5,15.8,23.9,25.1,8.1,2.6,84476,N,14.4,7.8,16.0,13.2,9.9,19.3,9.4,8.0,2.0,0.0,32936,45946
47,19154,12426,8451,5987,3975,3.7,2.3,6.1,11.9,12.6,21.6,14.8,15.1,7.0,5.0,65082,80612,2.2,0.7,3.6,7.8,11.6,21.4,18.1,19.1,9.6,6.0,78027,93803,1.2,0.5,2.3,6.2,10.4,19.6,17.5,22.5,12.2,7.6,90453,N,7.1,5.8,12.2,20.9,15.6,21.5,8.2,5.7,0.8,2.2,38349,49362
